Longitud,Latitud,weighted_adjusted_score
2.2599,48.9373,0.25
2.2599,48.9373,0.25
2.2599,48.9373,0.25
2.31247,48.92281,0.25
2.31247,48.92281,0.25
2.31247,48.92281,0.25
2.31247,48.92281,0.25
2.31247,48.92281,0.25
2.31105,48.94615,0.25
2.31105,48.94615,0.25
2.31105,48.94615,0.25
2.31105,48.94615,0.25
2.31105,48.94615,0.25
2.28907,48.93529,0.25
2.28907,48.93529,0.25
2.28907,48.93529,0.25
2.28907,48.93529,0.25
2.28907,48.93529,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.28531,48.94898,0.25
2.28531,48.94898,0.25
2.28531,48.94898,0.25
2.28531,48.94898,0.25
2.28531,48.94898,0.25
2.28544,48.9484,0.25
2.28544,48.9484,0.25
2.28544,48.9484,0.25
2.28544,48.9484,0.25
