nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Zone Rurale SO,0.1702127659574468,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04038,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.0,58.95,µg-m3,100.0,100,100.0,A,1,48.581944,1.883333
Zone rurale Sud,0.4814814814814814,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04066,Rurale régionale,PM10,Fond,Oui,mesures fixes,Moy. journalière,21.0,20.625,µg-m3,100.0,100,100.0,A,1,48.364166,2.236944
A7 SUD LYONNAIS,0.1753424657534246,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20013,Périurbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,23.0,22.9,µg-m3,100.0,100,100.0,A,1,45.720024,4.818156
A7 Salaise Ouest,0.084931506849315,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR27011,Périurbaine,PM10,Trafic,Oui,mesures indicatives,Moy. journalière,23.0,23.0791666667,µg-m3,100.0,100,100.0,A,1,45.344078,4.807481
A7 Valence Est,0.0754189944134078,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36032,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,21.0,21.2708333333,µg-m3,100.0,100,100.0,A,1,44.9492,4.890133
ANNECY Rocade,0.0657534246575342,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33203,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,49.6,49.575,µg-m3,100.0,100,100.0,R,1,45.9097,6.11825
ANNEMASSE,0.2486187845303867,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33211,Urbaine,NO2,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,47.1,47.05,µg-m3,100.0,100,100.0,R,1,46.19583,6.240556
Albertville,0.3041095890410959,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR04,ZAR VALLEE-DE-LA-TARANTAISE,FR33121,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,12.0,12.0583333333,µg-m3,100.0,100,100.0,A,1,45.675,6.389722
Aurillac-Lagarde,0.2082191780821917,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07052,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,76.3,76.3,µg-m3,100.0,100,100.0,R,1,44.92008,2.441082
BOSSONS,0.147945205479452,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33232,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,21.0,21.1958333333,µg-m3,100.0,100,100.0,A,1,45.907223,6.845833
