nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Grenoble Les Frenes,4812.4,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15043,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.2,71.225,µg-m3,100.0,100,100.0,A,1,45.1619,5.7356
Grenoble PeriurbSud,6355.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15045,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.6,72.625,µg-m3,100.0,100,100.0,A,1,45.0578,5.6767
Gresivaudan Periurb,7399.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15048,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,47.4,47.425,µg-m3,100.0,100,100.0,A,1,45.2797,5.8822
HAUT BEAUJOLAIS,5894.4,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR20049,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,86.2,86.15,µg-m3,100.0,100,100.0,A,1,45.96141,4.465711
Jardin Lecoq,6328.7,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07009,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,70.1,70.075,µg-m3,100.0,100,100.0,A,1,45.772167,3.0875
LA TALAUDIERE,7448.3,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG03,ZAG SAINT-ETIENNE,FR29439,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.3,68.275,µg-m3,100.0,100,100.0,A,1,45.481777,4.429667
LOVERCHY,4813.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33201,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,56.7,56.7,µg-m3,100.0,100,100.0,A,1,45.89528,6.118333
LYON Centre,4781.6,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20062,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.0,71.025,µg-m3,100.0,100,100.0,R,1,45.757732,4.854214
Le Puy-Causans,7069.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07054,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,80.1,80.05,µg-m3,100.0,100,100.0,R,1,45.039001,3.887001
Les Ménuires,9739.1,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR47127,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,91.9,91.85,µg-m3,50.0,100,50.0,N,-1,45.318773,6.57839
Montferrand,6072.5,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07004,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.0,71.975,µg-m3,100.0,100,100.0,R,1,45.79728,3.113833
Montluçon,5745.8,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07058,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.5,72.525,µg-m3,100.0,100,100.0,A,1,46.340723,2.593945
Moulins Centre,6416.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07057,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.0,71.975,µg-m3,100.0,100,100.0,A,1,46.5619722,3.340638889
NOVEL,5505.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33202,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,53.2,53.225,µg-m3,100.0,100,100.0,A,1,45.916943,6.135556
PASSY,6315.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33220,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,50.3,50.325,µg-m3,100.0,100,100.0,A,1,45.92361,6.713611
